,容量系数_0.50,容量系数_0.55,容量系数_0.60,容量系数_0.65,容量系数_0.70,容量系数_0.75,容量系数_0.80,容量系数_0.85,容量系数_0.90,容量系数_0.95,容量系数_1.00
功率系数_0.40,40319.54148389158,39659.92565902493,39087.39085749697,38786.46650053259,38580.81054497703,38385.22147831037,38193.37004127333,38015.72648571778,37842.33928571778,37750.93238201407,37665.341626458525
功率系数_0.48,40185.554716171246,39508.000130084576,38904.7031115268,38490.20516319401,38116.61694281235,37801.758047352596,37571.94818068593,37373.83724735259,37178.61538068592,36986.36400290814,36804.57626957481
功率系数_0.56,40112.398548510384,39400.90953943643,38776.28881926198,38342.24204580347,37927.863623064375,37534.62225556605,37193.10649019529,36890.53302352864,36622.197556861975,36405.97529019531,36208.0929790842
功率系数_0.64,40087.204507874565,39364.51225221407,38709.42968976494,38245.879246235134,37811.49701359754,37397.97009285698,37001.90222081642,36649.40860895778,36340.37127562445,36036.44060895778,35735.85074229111
功率系数_0.72,40065.45473009679,39339.870089251104,38680.14754161679,38192.254087108464,37722.419005420124,37283.99094689512,36870.98760182846,36476.14505034346,36128.412101694696,35815.60503502803,35505.22796836136
功率系数_0.80,40044.58129851086,39317.09266253252,38655.97922010796,38162.570006832895,37681.370534982896,37210.26510016549,36771.46946933604,36352.69154655827,35971.18015864327,35642.02830518599,35327.8985274082
功率系数_0.88,40025.82616852827,39298.06033661327,38635.77472658788,38138.56682662401,37654.62984748679,37177.59299361401,36715.161134715876,36269.94168037532,35856.30820148199,35507.192084517716,35191.85635977105
功率系数_0.96,40014.555401364014,39286.675944060684,38624.60945414945,38124.62717865402,37639.98088874012,37161.42205523846,36694.43237828957,36239.42850173791,35803.103495471245,35436.76057252587,35110.70459119254
功率系数_1.00,40011.01166062327,39282.779647764386,38620.9613060013,38119.87532680216,37634.88088874012,37155.97761079401,36688.02472901401,36231.388898708086,35793.9664584342,35427.62353548883,35101.56755415551
功率系数_1.10,40002.152308771416,39273.8083849187,38611.84093563093,38107.995697172526,37622.84758639586,37143.29547025642,36674.41361790291,36214.51852833772,35771.79352207106,35404.827609562904,35078.72496156291
功率系数_1.20,39993.293899616234,39265.57690343722,38603.14723192723,38098.818276247344,37610.96795676623,37131.0269517379,36661.074069957904,36199.81384202512,35754.923151700685,35383.25869663021,35056.72271529688
