scheme,days,total_cost_yuan,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,plan_kwh,final_purchase_kwh,emergency_kwh,emergency_days,waste_kwh,charge_kwh,discharge_kwh,average_daily_storage_throughput_percent,annual_equivalent_full_cycles,soc_min_kwh,soc_max_kwh,max_charge_kwh,max_discharge_kwh,max_balance_residual_kwh,simultaneous_charge_discharge_periods,cross_day_soc_continuous,solve_seconds
完整追索式计划,334,13266622.729588892,12408349.80710467,753729.6637288843,104543.25875533736,20060179.417353645,20518906.353247177,21152.53044688981,87,1424175.3367019529,6198012.549778174,5021318.497752726,279.92342932961327,467.4721269804542,1200.0,10800.0,833.3333333333333,833.3333333333333,2.2737367544323206e-13,0,True,84.91264580539428
仅0:00，不调整,334,13539029.564674858,12870145.739173321,0.0,668883.8255015363,20577984.86127177,20577984.86127177,110241.20883918408,104,1590101.1997555476,6104350.692487636,4945415.317098896,275.69276471024284,460.4069170661055,1200.0,10800.0,833.3333333333333,833.3333333333333,2.2737367544323206e-13,0,True,40.92611590027809
仅6:00,334,13586137.368835265,12863425.99209255,376054.44870475295,346656.92803796113,20562593.176827174,20668422.78244561,56310.77611883255,86,1638227.3308860161,6043465.162385435,4896148.429673672,272.9444508996783,455.81723300246273,1200.0,10800.0,833.3333333333333,833.3333333333333,2.2737367544323206e-13,0,True,64.41711459960788
仅12:00,334,13214902.727168469,12852203.94790158,143149.9640218958,219548.81524499308,20536245.206646323,20446697.83462813,42052.27066333359,83,1380432.2803617958,6158792.101747228,4989663.771784224,278.1550866649564,464.5189947304771,1200.0,10800.0,833.3333333333333,833.3333333333333,2.2737367544323206e-13,0,True,56.443836596095935
仅18:00,334,13213397.228430424,12904721.800351309,146775.70444300544,161899.7236361116,20658969.286414005,20666588.42037892,33058.91180571626,82,1587403.3110967132,6178765.988585936,5005711.462464677,279.05382861902723,466.01989379377557,1200.0,10800.0,833.3333333333333,833.3333333333333,2.2737367544323206e-13,0,True,38.405011404072866
6:00+12:00,334,13356217.855896797,12853583.344606893,359102.1891308807,143532.32215902518,20539413.243393786,20540653.62852002,26449.708975498696,74,1473987.448181489,6078781.91429648,4924855.519949119,274.5418521518363,458.48489309356654,1200.0,10800.0,833.3333333333333,833.3333333333333,2.2737367544323206e-13,0,True,58.06566970702261
12:00+18:00,334,13155783.131274259,12902852.266355345,90591.25918616822,162339.60573274546,20654590.663178124,20473910.561710298,33029.75904844719,83,1378618.43715965,6264105.11515034,5074972.726517909,282.91112379411794,472.461576736177,1200.0,10800.0,833.3333333333333,833.3333333333333,2.2737367544323206e-13,0,True,47.060576596762985
6:00+12:00+18:00（计划不含追索）,334,13301412.48330795,12903323.578723865,308201.26191500615,89887.64266907741,20655687.02153122,20567049.94280463,17970.866056754934,74,1472245.7617987678,6182279.659695195,5008694.107599243,279.2159123576456,466.2905736372682,1200.0,10800.0,833.3333333333333,833.3333333333333,2.2737367544323206e-13,0,True,64.37610829994082
问题2方案,334,13701658.500732582,12925565.03539529,0.0,776093.465337291,20632061.34860599,20632061.34860599,127912.33303554569,107,1674121.1205025762,6042392.263340307,4895729.197168015,272.90722206857095,455.75506085451343,1200.0,10800.0,833.3333333333333,833.3333333333333,2.2737367544323206e-13,0,True,42.090780498227105
完美信息下界,334,12254766.630833656,12254766.630833656,0.0,3.637324637040251e-10,20189416.52301935,20189416.52301935,5.856470863818686e-11,0,990168.0903121401,6631889.146002879,5371830.208262334,299.49399586490057,500.1549730943839,1200.0,10800.0,833.3333333333333,833.3333333333333,2.2737367544323206e-13,0,True,2.183059001574293
