date,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan,plan_kwh,final_purchase_kwh,emergency_kwh,waste_kwh,charge_kwh,discharge_kwh,emergency_periods,simultaneous_charge_discharge_periods,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,max_charge_kwh,max_discharge_kwh,balance_max_abs_kwh,solve_seconds
2025-02-01,21754.286004165813,-658.0329417815503,0.0,21096.25306238426,40885.64676233173,39161.75884796955,0.0,2204.2792137119386,18615.854831092205,16036.55113016793,0,0,2533.9938206060738,1469.8730239580304,1255.7127165506233,10800.0,833.3333333333333,552.0416666666666,1.1368683772161603e-13,0.2264677002094686
2025-02-02,55733.95614550218,-1392.7110707412364,0.0,54341.24507476095,87715.87371642409,83826.892540266,0.0,917.9051082200928,22631.40376380333,18078.694281757416,0,0,1469.8730239580304,1750.6983205394438,1232.2232166778101,10800.0,833.3333333333333,809.9943034722221,0.0,0.27497240039519966
2025-02-03,53962.125363967614,43.036170905190865,0.0,54005.16153487281,85183.6220850804,84875.1139289597,0.0,172.51778973068303,23267.990290135534,18782.310650906504,0,0,1750.6983205394438,1822.6555250986517,1590.581408802355,10800.0,833.3333333333333,822.0777264583335,0.0,0.28825429966673255
2025-02-04,53761.77839967009,2216.585486917198,0.0,55978.363886587285,84734.74710638136,85895.92857688054,0.0,201.17003385799603,23287.717707206877,18787.823114184306,0,0,1822.6555250986517,1906.2424458245027,1540.323613595247,10800.0,833.3333333333333,824.6464944444443,0.0,0.2824375000782311
2025-02-05,52112.97865803521,5005.264049720419,138.1377437338999,57256.38045148953,82396.64520047995,86713.2844357675,23.781999437703348,1631.690670167619,22765.61349843139,18408.664716727137,1,0,1906.2424458245027,1941.222686938155,1611.6624886746931,10800.0,833.3333333333333,833.3333333333333,2.2737367544323206e-13,0.28323280019685626
2025-02-06,53240.92910719112,1351.0114938152856,122.98032063333396,54714.920921639736,84032.14493717352,84842.36242834401,21.052866666666773,44.49738004167352,23135.872341609775,18588.011643307425,1,0,1941.222686938155,2110.1615240453707,1787.5559489597097,10705.73164285773,833.3333333333333,833.3333333333333,2.2737367544323206e-13,0.3023796998895705
2025-02-07,20823.091381454025,-298.31200861530186,0.0,20524.779372838722,39586.93945244841,38654.51282633002,0.0,3294.9766276827313,19376.671089615276,15822.814557634652,0,0,2110.1615240453707,1968.2604406606124,1612.7314573272793,10800.0,833.3333333333333,536.0374499999999,0.0,0.2571711998898536
2025-02-08,19244.894098662968,354.59285092114925,0.0,19599.486949584116,36733.02561038261,37026.36117662188,0.0,2110.3861988794297,18569.212380646884,15230.400119571092,0,0,1968.2604406606124,1757.8847837193705,1568.2557952625807,10800.0,833.3333333333333,519.1618833333333,0.0,0.2457067002542317
2025-02-09,52213.61480414724,2969.6723061336343,0.0,55183.28711028087,82552.1161232924,85147.22959371386,0.0,1115.7992924564185,22903.682165374863,18427.667830784103,0,0,1757.8847837193705,1896.0122539077483,1684.5233869484173,10800.0,833.3333333333333,786.8303269410357,0.0,0.2852994001004845
2025-02-10,50949.20747035941,147.4840366761507,0.0,51096.69150703556,80711.48294970198,78383.46521619166,0.0,354.61182501187363,20399.85334177867,16697.6375339322,0,0,1896.0122539077483,1702.949668250554,1702.949668250554,10517.230439327495,833.3333333333333,766.5592714197533,0.0,0.2693636000622064
