release_hour,forecast,mae_kw,rmse_kw
0,附件3,197.49097249805948,383.0269248527167
0,历史,151.51520487940786,304.47172157242915
0,组合,129.6687793465569,255.44745147810562
0,组合+日内晴空指数修正,129.6687793465569,255.44745147810562
6,附件3,158.51647664347234,271.3714471216997
6,历史,200.90140443058328,351.4417118622095
6,组合,136.26197041004104,232.9747342400611
6,组合+日内晴空指数修正,196.89667262213115,422.3938911941904
12,附件3,75.25273638556232,139.72804450189926
12,历史,145.79279236610114,295.4135782425908
12,组合,74.32005424811499,138.6900141757727
12,组合+日内晴空指数修正,97.78678716660018,191.1479680925985
18,附件3,10.015140843313453,42.9233529015621
18,历史,2.1522059031936127,11.91569218836629
18,组合,2.013621584275895,10.852271157013453
18,组合+日内晴空指数修正,1.8540446898427292,10.504960316858579
