date,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan,plan_kwh,final_purchase_kwh,emergency_kwh,waste_kwh,charge_kwh,discharge_kwh,emergency_periods,simultaneous_charge_discharge_periods,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,max_charge_kwh,max_discharge_kwh,balance_max_abs_kwh,solve_seconds
2025-02-01,15544.235982973209,0.0,0.0,15544.235982973209,37321.926251234574,37321.926251234574,0.0,2.5934809855243657e-12,21888.159567901235,18944.409249999997,0,0,10800.0,9450.0,1200.0,10800.0,833.3333333333333,552.0416666666666,1.1368683772161603e-13,0.009778399951756
2025-02-02,53165.39797031108,0.0,0.0,53165.39797031108,74542.67559053499,74542.67559053499,0.0,1.1368683772161603e-13,15454.724423868314,19268.32678333333,0,0,9450.0,1950.0000000000002,1200.0000000000002,10800.0,833.3333333333333,833.3333333333333,0.0,0.009672800078988075
2025-02-03,58884.1732132937,0.0,0.0,58884.1732132937,83749.49690781892,83749.49690781892,0.0,2.2737367544323206e-13,22145.160041152263,18612.579633333335,0,0,1950.0000000000002,1200.0000000000002,1200.0000000000002,10800.0,833.3333333333333,833.3333333333333,0.0,0.00957580003887415
2025-02-04,60436.48085332098,0.0,0.0,60436.48085332098,85841.43965102879,85841.43965102879,0.0,3.410605131648481e-13,24455.661584362137,19809.085883333333,0,0,1200.0000000000002,1200.0,1200.0,10800.0,833.3333333333333,833.3333333333333,0.0,0.010851900093257427
2025-02-05,60867.944399591295,0.0,5.212939413468121e-12,60867.9443995913,88029.53784320987,88029.53784320987,7.958078640513122e-13,3.410605131648481e-13,27031.97820987654,19750.86735,0,0,1200.0,3583.3722222222223,1200.0,10800.0,833.3333333333333,833.3333333333333,0.0,0.009326899889856577
2025-02-06,59363.66545220044,0.0,2.5344633058921315e-12,59363.66545220044,85484.53252530863,85484.53252530863,4.831690603168681e-13,1.1368683772161603e-13,24518.475308641973,19305.0,0,0,3583.3722222222223,4200.000000000003,1200.0,10800.0,833.3333333333333,833.3333333333333,0.0,0.009022800019010901
2025-02-07,17985.030469977013,0.0,1.2294725237893546e-12,17985.030469977013,44995.399128189296,44995.399128189296,2.7267077484793845e-13,1732.7365666666656,29036.752078189296,17579.76918333333,0,0,4200.000000000003,10800.0,1200.0,10800.0,833.3333333333333,536.0374499999999,0.0,0.009584400104358792
2025-02-08,14996.766827668334,0.0,0.0,14996.766827668334,36777.71175,36777.71175,0.0,988.8823666666709,22166.666666666657,17954.999999999993,0,0,10800.0,10800.0,1200.0000000000018,10800.0,833.3333333333333,524.0133333333333,0.0,0.0093578000087291
2025-02-09,54620.68474091333,0.0,7.531752999057062e-13,54620.68474091333,75790.41596666665,75790.41596666665,1.1368683772161603e-13,4.092726157978177e-12,14999.999999999995,18765.0,0,0,10800.0,3450.0,1200.0,10800.0,833.3333333333333,772.9733333333334,0.0,0.008997500175610185
2025-02-10,51250.78620258601,0.0,0.0,51250.78620258601,76490.88033083333,76490.88033083333,0.0,3.410605131648481e-13,21627.33025,19463.0875025,0,0,3450.0,1288.944444444446,1200.0000000000014,10800.0,833.3333333333333,833.3333333333333,0.0,0.012035599909722805
2025-02-11,54398.794619696215,0.0,0.0,54398.794619696215,81116.79693539094,81116.79693539094,0.0,2.2737367544323206e-12,24348.683168724274,18452.483366666667,0,0,1288.944444444446,2700.0000000000005,1200.0000000000005,10800.0,833.3333333333333,833.3333333333333,0.0,0.013123199809342623
2025-02-12,52860.97531904179,0.0,0.0,52860.97531904179,78071.92173847737,78071.92173847737,0.0,2.1600499167107046e-12,21869.397921810694,19064.212316666664,0,0,2700.0000000000005,1200.0000000000014,1200.0000000000014,10800.0,833.3333333333333,833.3333333333333,0.0,0.008975999895483255
2025-02-13,50080.842856684496,0.0,2.254068931506481e-12,50080.842856684496,76945.93835246912,76945.93835246912,3.410605131648481e-13,2.0463630789890885e-12,24841.82413580246,19225.364800000003,0,0,1200.0000000000014,2196.1252777777777,1200.0,10800.0,833.3333333333333,833.3333333333333,1.1368683772161603e-13,0.010122100124135613
2025-02-14,17465.530954625327,0.0,0.0,17465.530954625327,44598.62392798354,44598.62392798354,0.0,2140.633650000003,28698.427427983534,16042.238966666664,0,0,2196.1252777777777,10200.000000000002,1200.0000000000014,10800.0,833.3333333333333,559.76725,0.0,0.010218400042504072
2025-02-15,15069.815760002757,0.0,0.0,15069.815760002757,36123.43935349794,36123.43935349794,0.0,2689.135866666669,21864.2757201646,17710.06333333333,0,0,10200.000000000002,10200.0,1200.0000000000002,10800.0,833.3333333333333,547.3166666666666,0.0,0.009337800089269876
2025-02-16,49591.95779572037,0.0,3.0507862902595654e-12,49591.95779572037,70301.93584753085,70301.93584753085,5.684341886080801e-13,1.1368683772161603e-13,14870.029197530865,19945.47245,0,0,10200.0,1421.390222222223,1200.0,10800.0,833.3333333333333,833.3333333333333,0.0,0.011173299979418516
2025-02-17,49718.798624836316,0.0,0.0,49718.798624836316,75381.0227763642,75381.0227763642,0.0,1.1368683772161603e-13,22568.75864753086,18371.59903783333,0,0,1421.390222222223,1320.3851851851864,1200.0000000000011,10800.0,833.3333333333333,833.3333333333333,0.0,0.010103699984028935
2025-02-18,49850.4849424101,0.0,0.0,49850.4849424101,76308.67376574897,76308.67376574897,0.0,4.547473508864641e-13,22766.48762674897,18549.201644333334,0,0,1320.3851851851864,1200.000000000001,1200.000000000001,10800.0,833.3333333333333,833.3333333333333,0.0,0.009828099980950356
2025-02-19,50818.97105171454,0.0,0.0,50818.97105171454,77640.79701090534,77640.79701090534,0.0,5.329070518200751e-13,25060.366460905352,20298.896833333332,0,0,1200.000000000001,1200.0000000000023,1200.0,10800.0,833.3333333333333,833.3333333333333,0.0,0.009749399963766336
2025-02-20,51060.00788268629,0.0,3.0452156352112067e-12,51060.00788268629,78617.45895226336,78617.45895226336,4.547473508864641e-13,3.410605131648481e-13,25917.50115226337,18293.175933333332,0,0,1200.0000000000023,4200.0,1200.0,10800.0,833.3333333333333,833.3333333333333,0.0,0.009949400089681149
2025-02-21,16095.553724478332,0.0,0.0,16095.553724478332,40282.63759423868,40282.63759423868,0.0,5245.322333333331,25010.806460905347,15533.753233333333,0,0,4200.0,9450.0,1200.0,10800.0,833.3333333333333,538.6099999999999,0.0,0.009740900015458465
2025-02-22,14464.741268421669,0.0,0.0,14464.741268421669,35211.30136666667,35211.30136666667,0.0,3123.2051499999993,22333.333333333336,18089.999999999996,0,0,9450.0,9450.0,1200.0,10800.0,833.3333333333333,530.305,0.0,0.008906299946829677
2025-02-23,45727.17020660124,0.0,0.0,45727.17020660124,66714.12977407407,66714.12977407407,0.0,3.410605131648481e-13,13722.50574074074,18540.22965,0,0,9450.0,1200.0,1200.0,10800.0,833.3333333333333,833.3333333333333,0.0,0.008648399962112308
2025-02-24,47050.555281252295,0.0,0.0,47050.555281252295,72703.5987510288,72703.5987510288,0.0,1.1084466677857563e-12,23687.18491769547,19186.61978333333,0,0,1200.0,1200.0000000000005,1200.0,10800.0,833.3333333333333,833.3333333333333,0.0,0.00977399991825223
